topic,published_at,title,url,description,source_name
construction,2025-05-05T08:14:08+00:00,"Hsbc Holdings PLC Cuts Stake in Dycom Industries, Inc. (NYSE:DY)",https://www.marketbeat.com/instant-alerts/hsbc-holdings-plc-cuts-stake-in-dycom-industries-inc-nysedy-2025-05-03/,"Hsbc Holdings PLC lessened its stake in Dycom Industries, Inc. (NYSE:DY - Free Report) by 32.2% during the 4th quarter, according to its most recent disclosure with the SEC. The institutional investor owned 7,644 shares of the construction company's stock after selling 3,634 shares during the quar",lulegacy
construction,2025-05-05T08:13:55+00:00,"Hsbc Holdings PLC Sells 4,417 Shares of Sterling Infrastructure, Inc. (NASDAQ:STRL)",https://www.marketbeat.com/instant-alerts/hsbc-holdings-plc-sells-4417-shares-of-sterling-infrastructure-inc-nasdaqstrl-2025-05-03/,"Hsbc Holdings PLC trimmed its stake in Sterling Infrastructure, Inc. (NASDAQ:STRL - Free Report) by 33.4% during the fourth quarter, according to its most recent disclosure with the Securities and Exchange Commission (SEC). The firm owned 8,807 shares of the construction company's stock after selli",lulegacy
construction,2025-05-05T08:13:48+00:00,"Stifel Financial Corp Trims Stock Position in Sterling Infrastructure, Inc. (NASDAQ:STRL)",https://www.marketbeat.com/instant-alerts/stifel-financial-corp-trims-stock-position-in-sterling-infrastructure-inc-nasdaqstrl-2025-05-03/,"Stifel Financial Corp reduced its stake in shares of Sterling Infrastructure, Inc. (NASDAQ:STRL - Free Report) by 22.0% during the 4th quarter, according to its most recent filing with the Securities and Exchange Commission (SEC). The institutional investor owned 18,273 shares of the construction",lulegacy
construction,2025-05-05T08:11:06+00:00,"First Trust Advisors LP Sells 23,395 Shares of Great Lakes Dredge & Dock Co. (NASDAQ:GLDD)",https://www.americanbankingnews.com/2025/05/05/first-trust-advisors-lp-sells-23395-shares-of-great-lakes-dredge-dock-co-nasdaqgldd.html,"First Trust Advisors LP decreased its position in Great Lakes Dredge & Dock Co. (NASDAQ:GLDD &#8211; Free Report) by 9.9% in the 4th quarter, according to the company in its most recent 13F filing with the Securities and Exchange Commission (SEC). The institutional investor owned 212,540 shares of the construction company&#8217;s stock after selling 23,395 [&#8230;]",americanbankingnews
construction,2025-05-05T08:10:51+00:00,"First Trust Advisors LP Sells 23,395 Shares of Great Lakes Dredge & Dock Co. (NASDAQ:GLDD)",https://www.etfdailynews.com/2025/05/05/first-trust-advisors-lp-sells-23395-shares-of-great-lakes-dredge-dock-co-nasdaqgldd/,"First Trust Advisors LP trimmed its position in shares of Great Lakes Dredge & Dock Co. (NASDAQ:GLDD &#8211; Free Report) by 9.9% during the fourth quarter, according to its most recent disclosure with the Securities and Exchange Commission. The institutional investor owned 212,540 shares of the construction company&#8217;s stock after selling 23,395 shares during the [&#8230;]",etfdailynews
materials,2025-05-05T09:11:41+00:00,PDT Partners LLC Buys New Stake in International Paper (NYSE:IP),https://www.marketbeat.com/instant-alerts/pdt-partners-llc-buys-new-stake-in-international-paper-nyseip-2025-05-03/,"PDT Partners LLC purchased a new position in International Paper (NYSE:IP - Free Report) during the 4th quarter, according to its most recent disclosure with the SEC. The fund purchased 6,000 shares of the basic materials company's stock, valued at approximately $323,000. A number of other institut",lulegacy
materials,2025-05-05T09:11:30+00:00,PDT Partners LLC Makes New Investment in ICL Group Ltd (NYSE:ICL),https://www.marketbeat.com/instant-alerts/pdt-partners-llc-makes-new-investment-in-icl-group-ltd-nyseicl-2025-05-03/,"PDT Partners LLC acquired a new stake in shares of ICL Group Ltd (NYSE:ICL - Free Report) in the fourth quarter, according to the company in its most recent 13F filing with the Securities and Exchange Commission (SEC). The firm acquired 56,933 shares of the basic materials company's stock, valued a",lulegacy
materials,2025-05-05T09:11:26+00:00,"Schonfeld Strategic Advisors LLC Sells 52,501 Shares of ATI Inc. (NYSE:ATI)",https://www.marketbeat.com/instant-alerts/schonfeld-strategic-advisors-llc-sells-52501-shares-of-ati-inc-nyseati-2025-05-03/,"Schonfeld Strategic Advisors LLC reduced its holdings in shares of ATI Inc. (NYSE:ATI - Free Report) by 41.1% in the 4th quarter, according to its most recent filing with the Securities and Exchange Commission. The firm owned 75,368 shares of the basic materials company's stock after selling 52,501",lulegacy
materials,2025-05-05T09:10:59+00:00,"Schonfeld Strategic Advisors LLC Has $4.57 Million Stock Holdings in Martin Marietta Materials, Inc. (NYSE:MLM)",https://www.marketbeat.com/instant-alerts/schonfeld-strategic-advisors-llc-has-457-million-stock-holdings-in-martin-marietta-materials-inc-nysemlm-2025-05-03/,"Schonfeld Strategic Advisors LLC reduced its stake in shares of Martin Marietta Materials, Inc. (NYSE:MLM - Free Report) by 49.7% during the 4th quarter, according to the company in its most recent 13F filing with the SEC. The institutional investor owned 8,839 shares of the construction company's",lulegacy
materials,2025-05-05T09:10:58+00:00,Schonfeld Strategic Advisors LLC Has $5.09 Million Stock Holdings in Southern Copper Co. (NYSE:SCCO),https://www.marketbeat.com/instant-alerts/schonfeld-strategic-advisors-llc-has-509-million-stock-holdings-in-southern-copper-co-nysescco-2025-05-03/,"Schonfeld Strategic Advisors LLC boosted its position in Southern Copper Co. (NYSE:SCCO - Free Report) by 15.7% in the 4th quarter, according to its most recent filing with the SEC. The fund owned 55,800 shares of the basic materials company's stock after purchasing an additional 7,574 shares durin",lulegacy
materials,2025-05-05T09:10:43+00:00,"Schonfeld Strategic Advisors LLC Sells 6,980 Shares of Nucor Co. (NYSE:NUE)",https://www.marketbeat.com/instant-alerts/schonfeld-strategic-advisors-llc-sells-6980-shares-of-nucor-co-nysenue-2025-05-03/,"Schonfeld Strategic Advisors LLC lowered its stake in shares of Nucor Co. (NYSE:NUE - Free Report) by 12.9% during the 4th quarter, according to the company in its most recent 13F filing with the SEC. The institutional investor owned 47,108 shares of the basic materials company's stock after selli",lulegacy
materials,2025-05-05T09:10:35+00:00,Schonfeld Strategic Advisors LLC Raises Stock Position in Carpenter Technology Co. (NYSE:CRS),https://www.marketbeat.com/instant-alerts/schonfeld-strategic-advisors-llc-raises-stock-position-in-carpenter-technology-co-nysecrs-2025-05-03/,"Schonfeld Strategic Advisors LLC increased its holdings in shares of Carpenter Technology Co. (NYSE:CRS - Free Report) by 395.3% in the fourth quarter, according to the company in its most recent filing with the Securities and Exchange Commission. The firm owned 33,389 shares of the basic materials",lulegacy
materials,2025-05-05T09:10:09+00:00,"AQR Capital Management LLC Sells 566,866 Shares of Huntsman Co. (NYSE:HUN)",https://www.marketbeat.com/instant-alerts/aqr-capital-management-llc-sells-566866-shares-of-huntsman-co-nysehun-2025-05-03/,"AQR Capital Management LLC lessened its stake in shares of Huntsman Co. (NYSE:HUN - Free Report) by 20.3% in the 4th quarter, according to its most recent disclosure with the SEC. The firm owned 2,227,049 shares of the basic materials company's stock after selling 566,866 shares during the period.",lulegacy
materials,2025-05-05T09:10:07+00:00,"AQR Capital Management LLC Sells 35,753 Shares of Vulcan Materials (NYSE:VMC)",https://www.marketbeat.com/instant-alerts/aqr-capital-management-llc-sells-35753-shares-of-vulcan-materials-nysevmc-2025-05-03/,"AQR Capital Management LLC cut its stake in Vulcan Materials (NYSE:VMC - Free Report) by 18.7% in the fourth quarter, according to the company in its most recent filing with the Securities and Exchange Commission (SEC). The fund owned 155,637 shares of the construction company's stock after selling",lulegacy
materials,2025-05-05T09:09:57+00:00,"AQR Capital Management LLC Sells 211,209 Shares of Bunge Global SA (NYSE:BG)",https://www.marketbeat.com/instant-alerts/aqr-capital-management-llc-sells-211209-shares-of-bunge-global-sa-nysebg-2025-05-03/,"AQR Capital Management LLC cut its stake in shares of Bunge Global SA (NYSE:BG - Free Report) by 27.7% during the 4th quarter, according to its most recent 13F filing with the Securities and Exchange Commission. The fund owned 551,614 shares of the basic materials company's stock after selling 211,",lulegacy
materials,2025-05-05T09:09:55+00:00,"AQR Capital Management LLC Increases Position in DuPont de Nemours, Inc. (NYSE:DD)",https://www.marketbeat.com/instant-alerts/aqr-capital-management-llc-increases-position-in-dupont-de-nemours-inc-nysedd-2025-05-03/,"AQR Capital Management LLC increased its stake in shares of DuPont de Nemours, Inc. (NYSE:DD - Free Report) by 15.4% in the fourth quarter, according to its most recent 13F filing with the Securities and Exchange Commission (SEC). The fund owned 569,730 shares of the basic materials company's stock",lulegacy
materials,2025-05-05T09:02:41+00:00,Northern Trust Corp Has $125.78 Million Stake in Eastman Chemical (NYSE:EMN),https://www.marketbeat.com/instant-alerts/northern-trust-corp-has-12578-million-stake-in-eastman-chemical-nyseemn-2025-05-03/,"Northern Trust Corp lifted its position in Eastman Chemical (NYSE:EMN - Free Report) by 10.3% in the 4th quarter, according to the company in its most recent 13F filing with the Securities and Exchange Commission (SEC). The institutional investor owned 1,377,400 shares of the basic materials compa",lulegacy
materials,2025-05-05T09:02:38+00:00,"Northern Trust Corp Purchases 287,493 Shares of The Mosaic Company (NYSE:MOS)",https://www.marketbeat.com/instant-alerts/northern-trust-corp-purchases-287493-shares-of-the-mosaic-company-nysemos-2025-05-03/,"Northern Trust Corp increased its position in shares of The Mosaic Company (NYSE:MOS - Free Report) by 5.9% in the 4th quarter, according to the company in its most recent filing with the Securities and Exchange Commission. The firm owned 5,171,642 shares of the basic materials company's stock afte",lulegacy
materials,2025-05-05T09:02:11+00:00,"Martin Marietta Materials, Inc. (NYSE:MLM) Shares Sold by The Manufacturers Life Insurance Company",https://www.marketbeat.com/instant-alerts/martin-marietta-materials-inc-nysemlm-shares-sold-by-the-manufacturers-life-insurance-company-2025-05-03/,"The Manufacturers Life Insurance Company lessened its holdings in shares of Martin Marietta Materials, Inc. (NYSE:MLM - Free Report) by 71.9% in the fourth quarter, according to its most recent filing with the SEC. The firm owned 34,699 shares of the construction company's stock after selling 88,68",lulegacy
materials,2025-05-05T09:02:04+00:00,The Manufacturers Life Insurance Company Has $19.22 Million Stock Holdings in Vulcan Materials (NYSE:VMC),https://www.marketbeat.com/instant-alerts/the-manufacturers-life-insurance-company-has-1922-million-stock-holdings-in-vulcan-materials-nysevmc-2025-05-03/,"The Manufacturers Life Insurance Company reduced its stake in shares of Vulcan Materials (NYSE:VMC - Free Report) by 5.9% during the 4th quarter, according to the company in its most recent 13F filing with the SEC. The institutional investor owned 74,736 shares of the construction company's stock",lulegacy
materials,2025-05-05T09:00:00+00:00,Thunderbolts*’ writer didn’t know Marvel cut his Taskmaster arc until he saw the movie,https://www.polygon.com/marvel/596372/thunderbolts-taskmaster-death-planned-story-arc,"Ever since the first Thunderbolts* trailer came out, sharp-eyed Marvel Cinematic Universe fans have been theorizing about one particular gap between the cast list and the footage released. Black Widow villain Antonia Dreykov, aka Taskmaster (Olga Kurylenko), appears on the movie’s poster and marketing, but is noticeably absent from other scenes and shots in the promotional material, leading to speculation that her role in the movie is fairly minimal. That wound up being true —&nbsp;though original Thunderbolts*&nbsp; screenwriter Eric Pearson (Black Widow, Fantastic Four: First Steps) tells...",Polygon
materials,2025-05-05T08:55:01+00:00,Fortuna Silver Mines Inc. (NYSE:FSM) Stock Holdings Lifted by Dimensional Fund Advisors LP,https://www.etfdailynews.com/2025/05/05/fortuna-silver-mines-inc-nysefsm-stock-holdings-lifted-by-dimensional-fund-advisors-lp/,"Dimensional Fund Advisors LP lifted its holdings in shares of Fortuna Silver Mines Inc. (NYSE:FSM &#8211; Free Report) (TSE:FVI) by 10.5% in the fourth quarter, according to the company in its most recent filing with the Securities & Exchange Commission. The fund owned 8,402,119 shares of the basic materials company&#8217;s stock after buying an additional [&#8230;]",etfdailynews
materials,2025-05-05T08:54:56+00:00,"Freestone Grove Partners LP Invests $316,000 in Newmont Co. (NYSE:NEM)",https://www.marketbeat.com/instant-alerts/freestone-grove-partners-lp-invests-316000-in-newmont-co-nysenem-2025-05-05/,"Freestone Grove Partners LP bought a new stake in Newmont Co. (NYSE:NEM - Free Report) in the 4th quarter, according to its most recent disclosure with the Securities and Exchange Commission (SEC). The institutional investor bought 8,497 shares of the basic materials company's stock, valued at app",lulegacy
materials,2025-05-05T08:54:24+00:00,Comerica Bank Decreases Stock Position in Newmont Co. (NYSE:NEM),https://www.marketbeat.com/instant-alerts/comerica-bank-decreases-stock-position-in-newmont-co-nysenem-2025-05-05/,"Comerica Bank cut its holdings in Newmont Co. (NYSE:NEM - Free Report) by 22.5% during the 4th quarter, according to its most recent 13F filing with the Securities and Exchange Commission. The institutional investor owned 146,944 shares of the basic materials company's stock after selling 42,608 s",lulegacy
materials,2025-05-05T08:52:09+00:00,Valvoline Inc. (NYSE:VVV) Stake Boosted by Tudor Investment Corp ET AL,https://www.marketbeat.com/instant-alerts/valvoline-inc-nysevvv-stake-boosted-by-tudor-investment-corp-et-al-2025-05-03/,"Tudor Investment Corp ET AL grew its position in Valvoline Inc. (NYSE:VVV - Free Report) by 386.6% in the 4th quarter, according to the company in its most recent Form 13F filing with the Securities and Exchange Commission (SEC). The firm owned 96,248 shares of the basic materials company's stock a",lulegacy
materials,2025-05-05T08:43:10+00:00,"Boothbay Fund Management LLC Makes New $271,000 Investment in The Mosaic Company (NYSE:MOS)",https://www.marketbeat.com/instant-alerts/boothbay-fund-management-llc-makes-new-271000-investment-in-the-mosaic-company-nysemos-2025-05-03/,"Boothbay Fund Management LLC bought a new stake in shares of The Mosaic Company (NYSE:MOS - Free Report) during the 4th quarter, according to its most recent 13F filing with the Securities and Exchange Commission. The institutional investor bought 11,038 shares of the basic materials company's sto",lulegacy
materials,2025-05-05T08:37:00+00:00,"NewEdge Advisors LLC Purchases 1,000 Shares of Ternium S.A. (NYSE:TX)",https://www.etfdailynews.com/2025/05/05/newedge-advisors-llc-purchases-1000-shares-of-ternium-s-a-nysetx/,"NewEdge Advisors LLC lifted its position in shares of Ternium S.A. (NYSE:TX &#8211; Free Report) by 500.0% during the fourth quarter, HoldingsChannel reports. The firm owned 1,200 shares of the basic materials company&#8217;s stock after buying an additional 1,000 shares during the quarter. NewEdge Advisors LLC&#8217;s holdings in Ternium were worth $35,000 at the end [&#8230;]",etfdailynews
materials,2025-05-05T08:32:43+00:00,"Susquehanna Fundamental Investments LLC Acquires Shares of 49,257 Radius Recycling, Inc. (NASDAQ:RDUS)",https://www.marketbeat.com/instant-alerts/susquehanna-fundamental-investments-llc-acquires-shares-of-49257-radius-recycling-inc-nasdaqrdus-2025-05-03/,"Susquehanna Fundamental Investments LLC bought a new position in Radius Recycling, Inc. (NASDAQ:RDUS - Free Report) during the 4th quarter, according to the company in its most recent Form 13F filing with the Securities &amp; Exchange Commission. The fund bought 49,257 shares of the basic materials",lulegacy
materials,2025-05-05T08:32:30+00:00,"Susquehanna Fundamental Investments LLC Invests $683,000 in Minerals Technologies Inc. (NYSE:MTX)",https://www.marketbeat.com/instant-alerts/susquehanna-fundamental-investments-llc-invests-683000-in-minerals-technologies-inc-nysemtx-2025-05-03/,"Susquehanna Fundamental Investments LLC purchased a new stake in Minerals Technologies Inc. (NYSE:MTX - Free Report) in the 4th quarter, according to its most recent filing with the Securities &amp; Exchange Commission. The fund purchased 8,958 shares of the basic materials company's stock, valued",lulegacy
materials,2025-05-05T08:31:43+00:00,Hecla Mining (NYSE:HL) Position Lowered by Two Sigma Securities LLC,https://www.marketbeat.com/instant-alerts/hecla-mining-nysehl-position-lowered-by-two-sigma-securities-llc-2025-05-03/,"Two Sigma Securities LLC reduced its position in Hecla Mining (NYSE:HL - Free Report) by 90.1% in the 4th quarter, according to the company in its most recent Form 13F filing with the Securities &amp; Exchange Commission. The fund owned 12,324 shares of the basic materials company's stock after sel",lulegacy
materials,2025-05-05T08:30:47+00:00,"Coeur Mining, Inc. (NYSE:CDE) Stock Holdings Lowered by Tower Research Capital LLC TRC",https://www.etfdailynews.com/2025/05/05/coeur-mining-inc-nysecde-stock-holdings-lowered-by-tower-research-capital-llc-trc/,"Tower Research Capital LLC TRC lessened its position in Coeur Mining, Inc. (NYSE:CDE &#8211; Free Report) by 63.5% during the fourth quarter, according to the company in its most recent 13F filing with the Securities & Exchange Commission. The firm owned 41,476 shares of the basic materials company&#8217;s stock after selling 72,227 shares during the [&#8230;]",etfdailynews
materials,2025-05-05T08:23:44+00:00,"Kovitz Investment Group Partners LLC Purchases Shares of 2,259 Steel Dynamics, Inc. (NASDAQ:STLD)",https://www.marketbeat.com/instant-alerts/kovitz-investment-group-partners-llc-purchases-shares-of-2259-steel-dynamics-inc-nasdaqstld-2025-05-03/,"Kovitz Investment Group Partners LLC acquired a new stake in shares of Steel Dynamics, Inc. (NASDAQ:STLD - Free Report) in the 4th quarter, according to the company in its most recent Form 13F filing with the SEC. The institutional investor acquired 2,259 shares of the basic materials company's st",lulegacy
materials,2025-05-05T08:23:14+00:00,"Voya Investment Management LLC Acquires 10,735 Shares of ATI Inc. (NYSE:ATI)",https://www.marketbeat.com/instant-alerts/voya-investment-management-llc-acquires-10735-shares-of-ati-inc-nyseati-2025-05-03/,"Voya Investment Management LLC increased its stake in shares of ATI Inc. (NYSE:ATI - Free Report) by 22.6% in the fourth quarter, according to its most recent Form 13F filing with the SEC. The fund owned 58,191 shares of the basic materials company's stock after buying an additional 10,735 shares d",lulegacy
materials,2025-05-05T08:23:06+00:00,MP Materials Corp. (NYSE:MP) Shares Bought by Dimensional Fund Advisors LP,https://www.americanbankingnews.com/2025/05/05/mp-materials-corp-nysemp-shares-bought-by-dimensional-fund-advisors-lp.html,MP Materials Corp. (NYSE:MP) Shares Bought by Dimensional Fund Advisors LP,americanbankingnews
materials,2025-05-05T08:23:04+00:00,Voya Investment Management LLC Cuts Stock Holdings in Rayonier Advanced Materials Inc. (NYSE:RYAM),https://www.marketbeat.com/instant-alerts/voya-investment-management-llc-cuts-stock-holdings-in-rayonier-advanced-materials-inc-nyseryam-2025-05-03/,"Voya Investment Management LLC cut its position in shares of Rayonier Advanced Materials Inc. (NYSE:RYAM - Free Report) by 43.5% during the fourth quarter, according to its most recent Form 13F filing with the SEC. The institutional investor owned 328,421 shares of the basic materials company's st",lulegacy
sustainable building materials,2025-04-24T08:01:58+00:00,World’s first Low Carbon Ratings system for Cement and Concrete launches,https://financialpost.com/pmn/business-wire-news-releases-pmn/worlds-first-low-carbon-ratings-system-for-cement-and-concrete-launches,"Global system aims to incentivise procurement of more sustainable building materials System will provide transparency and trust, and help governments and businesses identify and buy more sustainable cement and concrete, the world’s most used substance after water LONDON &#8212; The Global Cement and Concrete Association (GCCA) announces the launch of Low Carbon Ratings (LCR) [&#8230;]",Financial Post | Canada Business News
sustainable building materials,2025-04-11T07:00:00+00:00,Sustainable building material extracted from seawater,https://www.advancedsciencenews.com/sustainable-building-material-extracted-from-seawater/,"A sand-like material can be extracted from seawater by adding carbon dioxide, potentially making the building industry more sustainable.The post Sustainable building material extracted from seawater appeared first on Advanced Science News.",Advanced Science News
recycled concrete,2025-03-30T16:16:07+00:00,"Temporary Debris Staging and Reduction Site - Temescal Canyon Road, Palisades [Image 22 of 23]",https://www.dvidshub.net/image/8943083/temporary-debris-staging-and-reduction-site-temescal-canyon-road-palisades,"Temescal Canyon Road is playing a key role in wildfire recovery by recycling concrete and debris while it is being used as a Temporary Debris Staging and Reduction site in Pacific Palisades, California, March 28, 2025.The U.S. Army Corps of Engineers, in collaboration with federal, state, and local partners, is working safely and quickly to remove wildfire ash and debris from nearly 13,600 homes, paving the way for community rebuilding efforts. (U.S. Army Corps of Engineers photo by Christopher Rosario)",dvidshub
recycled concrete,2025-03-30T16:16:06+00:00,"Temporary Debris Staging and Reduction Site - Temescal Canyon Road, Palisades [Image 23 of 23]",https://www.dvidshub.net/image/8943084/temporary-debris-staging-and-reduction-site-temescal-canyon-road-palisades,"Temescal Canyon Road is playing a key role in wildfire recovery by recycling concrete and debris while it is being used as a Temporary Debris Staging and Reduction site in Pacific Palisades, California, March 28, 2025.The U.S. Army Corps of Engineers, in collaboration with federal, state, and local partners, is working safely and quickly to remove wildfire ash and debris from nearly 13,600 homes, paving the way for community rebuilding efforts. (U.S. Army Corps of Engineers photo by Christopher Rosario)",dvidshub
recycled concrete,2025-03-30T16:16:06+00:00,"Temporary Debris Staging and Reduction Site - Temescal Canyon Road, Palisades [Image 17 of 23]",https://www.dvidshub.net/image/8943078/temporary-debris-staging-and-reduction-site-temescal-canyon-road-palisades,"Temescal Canyon Road is playing a key role in wildfire recovery by recycling concrete and debris while it is being used as a Temporary Debris Staging and Reduction site in Pacific Palisades, California, March 28, 2025.The U.S. Army Corps of Engineers, in collaboration with federal, state, and local partners, is working safely and quickly to remove wildfire ash and debris from nearly 13,600 homes, paving the way for community rebuilding efforts. (U.S. Army Corps of Engineers photo by Christopher Rosario)",dvidshub
recycled concrete,2025-03-30T16:16:05+00:00,"Temporary Debris Staging and Reduction Site - Temescal Canyon Road, Palisades [Image 19 of 23]",https://www.dvidshub.net/image/8943080/temporary-debris-staging-and-reduction-site-temescal-canyon-road-palisades,"Temescal Canyon Road is playing a key role in wildfire recovery by recycling concrete and debris while it is being used as a Temporary Debris Staging and Reduction site in Pacific Palisades, California, March 28, 2025.The U.S. Army Corps of Engineers, in collaboration with federal, state, and local partners, is working safely and quickly to remove wildfire ash and debris from nearly 13,600 homes, paving the way for community rebuilding efforts. (U.S. Army Corps of Engineers photo by Christopher Rosario)",dvidshub
recycled concrete,2025-03-30T16:16:05+00:00,"Temporary Debris Staging and Reduction Site - Temescal Canyon Road, Palisades [Image 21 of 23]",https://www.dvidshub.net/image/8943082/temporary-debris-staging-and-reduction-site-temescal-canyon-road-palisades,"Temescal Canyon Road is playing a key role in wildfire recovery by recycling concrete and debris while it is being used as a Temporary Debris Staging and Reduction site in Pacific Palisades, California, March 28, 2025.The U.S. Army Corps of Engineers, in collaboration with federal, state, and local partners, is working safely and quickly to remove wildfire ash and debris from nearly 13,600 homes, paving the way for community rebuilding efforts. (U.S. Army Corps of Engineers photo by Christopher Rosario)",dvidshub
recycled concrete,2025-03-30T16:16:05+00:00,"Temporary Debris Staging and Reduction Site - Temescal Canyon Road, Palisades [Image 20 of 23]",https://www.dvidshub.net/image/8943081/temporary-debris-staging-and-reduction-site-temescal-canyon-road-palisades,"Temescal Canyon Road is playing a key role in wildfire recovery by recycling concrete and debris while it is being used as a Temporary Debris Staging and Reduction site in Pacific Palisades, California, March 28, 2025.The U.S. Army Corps of Engineers, in collaboration with federal, state, and local partners, is working safely and quickly to remove wildfire ash and debris from nearly 13,600 homes, paving the way for community rebuilding efforts. (U.S. Army Corps of Engineers photo by Christopher Rosario)",dvidshub
recycled concrete,2025-03-30T16:16:05+00:00,"Temporary Debris Staging and Reduction Site - Temescal Canyon Road, Palisades [Image 18 of 23]",https://www.dvidshub.net/image/8943079/temporary-debris-staging-and-reduction-site-temescal-canyon-road-palisades,"Temescal Canyon Road is playing a key role in wildfire recovery by recycling concrete and debris while it is being used as a Temporary Debris Staging and Reduction site in Pacific Palisades, California, March 28, 2025.The U.S. Army Corps of Engineers, in collaboration with federal, state, and local partners, is working safely and quickly to remove wildfire ash and debris from nearly 13,600 homes, paving the way for community rebuilding efforts. (U.S. Army Corps of Engineers photo by Christopher Rosario)",dvidshub
recycled concrete,2025-03-30T16:16:04+00:00,"Temporary Debris Staging and Reduction Site - Temescal Canyon Road, Palisades [Image 15 of 23]",https://www.dvidshub.net/image/8943076/temporary-debris-staging-and-reduction-site-temescal-canyon-road-palisades,"Temescal Canyon Road is playing a key role in wildfire recovery by recycling concrete and debris while it is being used as a Temporary Debris Staging and Reduction site in Pacific Palisades, California, March 28, 2025.The U.S. Army Corps of Engineers, in collaboration with federal, state, and local partners, is working safely and quickly to remove wildfire ash and debris from nearly 13,600 homes, paving the way for community rebuilding efforts. (U.S. Army Corps of Engineers photo by Christopher Rosario)",dvidshub
recycled concrete,2025-03-30T16:16:04+00:00,"Temporary Debris Staging and Reduction Site - Temescal Canyon Road, Palisades [Image 16 of 23]",https://www.dvidshub.net/image/8943077/temporary-debris-staging-and-reduction-site-temescal-canyon-road-palisades,"Temescal Canyon Road is playing a key role in wildfire recovery by recycling concrete and debris while it is being used as a Temporary Debris Staging and Reduction site in Pacific Palisades, California, March 28, 2025.The U.S. Army Corps of Engineers, in collaboration with federal, state, and local partners, is working safely and quickly to remove wildfire ash and debris from nearly 13,600 homes, paving the way for community rebuilding efforts. (U.S. Army Corps of Engineers photo by Christopher Rosario)",dvidshub
recycled concrete,2025-03-30T16:16:03+00:00,"Temporary Debris Staging and Reduction Site - Temescal Canyon Road, Palisades [Image 14 of 23]",https://www.dvidshub.net/image/8943075/temporary-debris-staging-and-reduction-site-temescal-canyon-road-palisades,"Temescal Canyon Road is playing a key role in wildfire recovery by recycling concrete and debris while it is being used as a Temporary Debris Staging and Reduction site in Pacific Palisades, California, March 28, 2025.The U.S. Army Corps of Engineers, in collaboration with federal, state, and local partners, is working safely and quickly to remove wildfire ash and debris from nearly 13,600 homes, paving the way for community rebuilding efforts. (U.S. Army Corps of Engineers photo by Christopher Rosario)",dvidshub
recycled concrete,2025-03-30T16:16:02+00:00,"Temporary Debris Staging and Reduction Site - Temescal Canyon Road, Palisades [Image 12 of 23]",https://www.dvidshub.net/image/8943073/temporary-debris-staging-and-reduction-site-temescal-canyon-road-palisades,"Temescal Canyon Road is playing a key role in wildfire recovery by recycling concrete and debris while it is being used as a Temporary Debris Staging and Reduction site in Pacific Palisades, California, March 28, 2025.The U.S. Army Corps of Engineers, in collaboration with federal, state, and local partners, is working safely and quickly to remove wildfire ash and debris from nearly 13,600 homes, paving the way for community rebuilding efforts. (U.S. Army Corps of Engineers photo by Christopher Rosario)",dvidshub
recycled concrete,2025-03-30T16:16:02+00:00,"Temporary Debris Staging and Reduction Site - Temescal Canyon Road, Palisades [Image 11 of 23]",https://www.dvidshub.net/image/8943072/temporary-debris-staging-and-reduction-site-temescal-canyon-road-palisades,"Temescal Canyon Road is playing a key role in wildfire recovery by recycling concrete and debris while it is being used as a Temporary Debris Staging and Reduction site in Pacific Palisades, California, March 28, 2025.The U.S. Army Corps of Engineers, in collaboration with federal, state, and local partners, is working safely and quickly to remove wildfire ash and debris from nearly 13,600 homes, paving the way for community rebuilding efforts. (U.S. Army Corps of Engineers photo by Christopher Rosario)",dvidshub
recycled concrete,2025-03-30T16:16:02+00:00,"Temporary Debris Staging and Reduction Site - Temescal Canyon Road, Palisades [Image 13 of 23]",https://www.dvidshub.net/image/8943074/temporary-debris-staging-and-reduction-site-temescal-canyon-road-palisades,"Temescal Canyon Road is playing a key role in wildfire recovery by recycling concrete and debris while it is being used as a Temporary Debris Staging and Reduction site in Pacific Palisades, California, March 28, 2025.The U.S. Army Corps of Engineers, in collaboration with federal, state, and local partners, is working safely and quickly to remove wildfire ash and debris from nearly 13,600 homes, paving the way for community rebuilding efforts. (U.S. Army Corps of Engineers photo by Christopher Rosario)",dvidshub
recycled concrete,2025-03-30T16:16:01+00:00,"Temporary Debris Staging and Reduction Site - Temescal Canyon Road, Palisades [Image 10 of 23]",https://www.dvidshub.net/image/8943071/temporary-debris-staging-and-reduction-site-temescal-canyon-road-palisades,"Temescal Canyon Road is playing a key role in wildfire recovery by recycling concrete and debris while it is being used as a Temporary Debris Staging and Reduction site in Pacific Palisades, California, March 28, 2025.The U.S. Army Corps of Engineers, in collaboration with federal, state, and local partners, is working safely and quickly to remove wildfire ash and debris from nearly 13,600 homes, paving the way for community rebuilding efforts. (U.S. Army Corps of Engineers photo by Christopher Rosario)",dvidshub
